EventId,Mean,STDDEVI,STDDEVC,EXPVAL,RATE
2848504,18590570.5933371,7134124.34973241,8632012.05324758,134253408.353,8.23121192096294E-06
2848505,68038.2142449935,130507.860019585,101835.434715043,236020565.6037,3.70872313925344E-05
2848506,41196186.2976738,10498786.0299721,15940256.5668582,330010809.109,8.66151611328355E-06
2848507,125316.486960022,217028.694961328,185432.689329061,306527100,1.74936716706027E-05
2848508,3843355.11560728,2880833.23901842,2527753.99823219,401732298.1832,1.38860328609299E-05
2848511,543451.038250338,568147.792131347,802159.552782388,759066930,2.59317161794244E-06
2848514,4992683.48007725,3284534.56168983,2711862.37104739,371219156.424,2.02752246621975E-05
2848515,81828.9026947454,142728.323419989,122693.850401282,234220581,6.80591033412437E-07
2848516,22841995.9282552,7817746.58986919,10960038.4643013,397296083.2242,4.29469882450859E-06
2848517,113151.323748317,174445.791817042,169193.891824142,297266469,0.000524923452952369
2848518,1222082.21505483,1539249.57393995,1069300.75645706,519957154.9811,9.9809165064102E-06
2848523,7303021.42630681,4162663.52079173,3160554.5886242,504902650.7324,3.30204439151561E-06
2848524,6115.8975988786,23482.5861793245,9173.8463983179,51668586.9124,4.76518806772161E-06
2848526,354808.741501703,582374.74205482,447604.423274324,474764819.7449,0.000935249818089717
2848527,1901145.51983906,1858358.3251037,1501867.41350029,218561120.4462,2.71796926275485E-05
2848530,1401884.79966238,1584967.12110788,1199158.04428335,266822045.5444,4.32294738404248E-06
2848532,84980.4000587647,180728.665761632,126109.353263308,218390153.8593,1.3352422619662E-06
2848534,2612195.14050345,2384206.32864823,1353284.5449564,259686638.0398,5.68824282765265E-06
2848537,1206970.79268955,558842.448333055,1808286.21902996,3421620324,3.68871868885095E-05
2848539,52925.5160107849,104796.618384737,79338.2864394992,302879826.9623,2.7467243014334E-06
2848541,13547218.0341217,6130844.29105441,5029362.54163743,406931886.9344,0.000111948561945754
2848542,508949.477774119,738211.022660446,647881.788648326,243259407,9.67574425115808E-07
2848544,5317175.27083168,3368368.49861341,2301475.48246475,149261185.5612,1.11796492200323E-05
2848545,20910.7878509751,54296.8262807292,31366.1817764626,135348879,4.29525029519868E-05
2848546,6507001.00371933,3929818.72602439,2910467.61282045,266871582.1829,1.47009573284336E-05
2848547,35.7747096579464,304.085032092544,53.6620644869196,9007464,2.93278595089203E-06
2848548,2835415.00470372,2401589.59966294,1319023.6690083,91837990.2934,9.7830241032489E-05
2848549,41093.5754152985,79343.4041449562,61591.1452159587,198201873,2.4261392864014E-06
2848551,2034934.61651974,1958395.28554263,1587994.59654765,224495402.7897,3.89328972904997E-05
2848552,89357.1232908991,160696.247839533,133326.615516792,243626866.8014,1.71850942681375E-05
